,actively_hiring,Type_of_job,company_name,location,salary,experience
159,,Barista,Bäcker Deutschland,Bangalore,₹  2 - 2.1 LPA,0-2 years
160,,Telecaller,Rebin Infotech,Kolkata,₹  2 - 2.1 LPA,0-2 years
161,,Digital Marketing Executive,Adjar,Gurgaon,₹  2 - 2.4 LPA,0-2 years
162,,SEO Executive,TIS Digitech India,Delhi,₹  2 - 3 LPA,0-2 years
163,,Azure Trainer,ACS Networks And Technologies,Pune,₹  2.4 - 4 LPA,0-2 years
164,,Business Development Associate,Nouvel Facilities Private Limited,Delhi,₹  4 - 6 LPA,0-5 years
165,,Sales Executive,NoBroker,Bangalore,₹  4.8 - 5.1 LPA,0-5 years
166,,Business Development Specialist,Scrollit,Work from home,₹  2 - 2.5 LPA,0-2 years
167,,Visual Designer,The Event Studio,Mumbai,₹  2 - 2.5 LPA,0-2 years
168,,Fresher - Sales Trainee,ThinkStartup,Gurgaon,₹  2 - 2.2 LPA,0-2 years
169,,Database Building/Management Associate,IPics,Jaipur,₹  2.2 - 2.8 LPA,0-2 years
170,,Retail Sales Associate Trainer,Nav Bharat Nirman Foundation,Agartala,₹  2 - 2.5 LPA,0-2 years
171,,Customer Engagement Executive,IRIS Business Services Limited,Work from home,₹  2 - 3 LPA,0-2 years
172,1.0,IT Asset Manager,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
173,,Client Servicing Executive,Cog Digital Private Limited,Gurgaon,₹  3.6 - 4.2 LPA,0-2 years
174,,Junior Digital Strategist - Facebook Marketing,Valueleaf Services India Private Limited,Bangalore,₹  3 - 4 LPA,0-2 years
175,,Corporate Sales Specialist,Symetree,Work from home,₹  3 - 6 LPA,0-5 years
176,,Business Development Executive,UTF Technologies India Private Limited,Bangalore,₹  2.1 - 2.3 LPA,0-2 years
177,,Executive - Creative,Bonphul Air Products Private Limited,Noida,₹  2 - 2.4 LPA,0-2 years
178,,Fundraising Executive,Happy Faces By Unique Staffing Services And Consultant,Delhi,₹  2 - 3 LPA,0-2 years
179,,Junior Feature Writer,Web News Observer,Work from home,₹  2 - 2.5 LPA,0-2 years
180,,Full Stack Developer,Koolio Inc.,Work from home,₹  2.5 - 3 LPA,0-2 years
181,,Legal Associate,Unity Legal Law Offices,Delhi,₹  3 LPA,0-2 years
182,,Accounting & Operations,INFOVIZ TECHNOLOGIES PRIVATE LIMITED,Bangalore,₹  2 - 2.4 LPA,0-2 years
183,,Business Development Executive,Slimjim,Mumbai,₹  2.7 - 3.2 LPA,0-2 years
184,1.0,IT Disaster Recovery Specialist,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
185,1.0,IT Business Intelligence Analyst,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
186,1.0,Associate Software Developer,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
187,1.0,Network Administrator,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
188,1.0,IT Service Delivery Manager,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
189,1.0,IT Network Technician,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
190,1.0,IT Communications Specialist,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
